ScenarioId,Iterations,TabuSize,Repeat,Seed,GreedyOjective,Objective,TotalCost,TotalPenalty,TotalVehicleOperationTime,RoutesCount,DurationMs
2,100,50,5,8042,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,1132.6117
0,500,30,5,8043,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,4965.0768
7,500,30,5,15044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,4442.5609
4,500,50,5,14044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,4787.3465
8,500,30,5,16044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,4484.4981
6,2000,30,5,29046,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,16195.7336
9,2000,30,5,32043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,15742.1575
5,500,50,5,15042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,5487.1477
2,100,50,5,8043,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,1379.454
9,500,30,5,17044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,4924.3347
1,500,10,5,7046,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,4750.4057
4,2000,50,5,29043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,17292.9807
1,500,50,5,11045,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,5867.6715
2,100,50,5,8044,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,1527.8825
1,2000,50,5,26046,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,22150.2852
2,2000,50,5,27045,1600.2822102074595,1498.9901874041743,94.08124600403852,417.1246876910066,987.7842537091291,2,17750.9408
3,500,50,5,13045,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,5931.6689
2,100,50,5,8045,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,1391.0362
7,500,30,5,15045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,4906.9567
3,100,10,5,5043,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,1246.9884
2,100,50,5,8046,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,1497.5215
3,500,50,5,13046,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,6291.716
6,500,50,5,16042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,5977.9786
4,500,50,5,14045,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,5289.4809
3,100,10,5,5044,1718.054435170112,1465.4622490345646,124.90155357374877,405.6591418870672,934.9015535737487,3,957.5189
3,100,10,5,5045,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,2357.2553
3,100,10,5,5046,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,2982.1166
8,500,30,5,16045,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,8447.4216
3,2000,50,5,28044,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,22056.1503
9,500,30,5,17045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,8219.776
3,100,30,5,7042,1718.054435170112,1484.3936360175476,92.33033391534647,438.8327194290966,953.2305826731047,2,4058.4157
3,100,30,5,7046,1718.054435170112,1515.496852294732,121.11659328790799,463.263665718916,931.116593287908,3,3423.4274
2,2000,50,5,27046,1600.2822102074595,1511.6726612560606,94.14887588660204,461.3030878498448,956.2206975196139,2,24797.9028
3,100,50,5,9043,1718.054435170112,1465.4622490345646,124.90155357374877,405.6591418870672,934.9015535737487,3,4715.4374
0,2000,30,5,23042,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,21690.965
3,100,50,5,9042,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,5012.7228
3,100,50,5,9045,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,4325.258
1,500,30,5,9042,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,11535.729
5,500,50,5,15043,1551.2822102074592,1469.2507655461234,87.19175574827244,484,898.0590097978509,2,12310.0986
3,100,50,5,9046,1718.054435170112,1505.5227213096168,131.5173691879417,432.4879829337337,941.5173691879415,3,4666.1431
8,500,50,5,18046,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,12784.5382
3,100,30,5,7043,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,3892.0369
4,100,10,5,6042,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,2899.7763
3,100,10,5,5042,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,3526.9524
2,500,10,5,8043,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,12154.2539
4,100,30,5,8043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,3177.0143
4,100,10,5,6044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,3737.5549
4,100,10,5,6043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,4509.778
4,100,10,5,6046,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,3588.2633
5,2000,50,5,30042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,29513.6577
0,2000,30,5,23046,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,24852.4709
3,100,50,5,9044,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,5578.4336
9,500,50,5,19045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,15494.1528
2,500,10,5,8042,1600.2822102074595,1498.9901874041743,94.08124600403852,417.1246876910066,987.7842537091291,2,13755.7002
3,100,30,5,7044,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,5231.4133
0,2000,10,5,21042,1708.7112894196043,1518.0729378379056,93.72681029154438,520.6193172548169,903.7268102915443,2,27517.7541
4,100,10,5,6045,1657.5272106258317,1503.1141572112683,93.34961586758719,456.6391922149327,953.1253491287483,2,3598.1151
4,100,30,5,8044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,3876.1694
5,100,10,5,7042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,3802.9651
5,100,10,5,7044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,3553.0681
1,2000,10,5,22042,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,32789.9741
4,100,30,5,8042,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,4682.6902
7,500,30,5,15046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,16729.6725
5,100,30,5,9043,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,4296.1948
1,2000,10,5,22043,1599.2822102074592,1437.7659803458755,91.68522398640124,394.3135260954402,951.7672302640342,2,31270.0961
5,100,50,5,11042,1551.2822102074592,1474.0349788396975,97.25368590518647,371,1005.7812929345112,2,5394.6172
4,100,30,5,8045,1657.5272106258317,1502.5091723595351,89.49471185395903,467.7522458442802,945.2622146612958,2,4142.2147
5,100,10,5,7043,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,3998.3093
3,100,30,5,7045,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,5813.0709
5,100,10,5,7045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,4367.4349
5,100,50,5,11046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,5324.182
4,500,50,5,14046,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,20354.4334
5,100,30,5,9044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,3970.1552
3,2000,50,5,28046,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,38018.5196
4,100,30,5,8046,1657.5272106258317,1502.5091723595351,89.49471185395903,467.7522458442802,945.2622146612958,2,3653.6008
5,100,10,5,7046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,3793.0593
6,500,50,5,16043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,24094.1075
6,100,10,5,8045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,5425.1968
5,100,50,5,11043,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,5503.0298
6,100,30,5,10044,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,4888.8328
9,500,30,5,17046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,21343.8125
5,100,30,5,9045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,4541.6487
4,100,50,5,10042,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,4010.3371
8,500,30,5,16046,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,25318.5566
5,100,30,5,9042,1551.2822102074592,1469.2507655461234,87.19175574827244,484,898.0590097978509,2,5527.2103
6,100,10,5,8046,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,5452.9026
3,500,10,5,9043,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,25890.1546
3,500,10,5,9044,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,26201.6277
3,500,10,5,9045,1718.054435170112,1484.3936360175476,92.33033391534647,438.8327194290966,953.2305826731047,2,26268.2692
5,100,50,5,11044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,6774.3033
7,100,10,5,9042,1618.7742837964904,1445.2592490149627,124.5279266439286,348.8284271247462,971.902895246288,3,6308.1926
5,100,30,5,9046,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,6581.0895
6,100,30,5,10045,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,7602.7946
2,2000,10,5,23042,1600.2822102074595,1498.9901874041743,94.08124600403852,417.1246876910066,987.7842537091291,2,43410.6014
2,500,10,5,8044,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,22086.8272
7,100,10,5,9043,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,7360.28
4,100,50,5,10043,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,6684.2991
7,100,10,5,9045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,6601.5856
7,100,10,5,9044,1618.7742837964904,1445.2592490149627,124.5279266439286,348.8284271247462,971.902895246288,3,7673.0817
7,2000,30,5,30046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,44671.0054
7,100,10,5,9046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,7733.5046
7,100,30,5,11042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,6853.0121
5,500,50,5,15044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,28521.1683
6,100,30,5,10042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,6555.9993
7,100,50,5,13046,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,7267.9123
7,100,50,5,13045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,7651.8691
4,2000,50,5,29045,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,53020.6032
5,100,50,5,11045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,7798.6269
3,500,10,5,9042,1718.054435170112,1448.5361471382996,96.004875600827,446.52639593664566,906.004875600827,2,31270.5432
8,100,30,5,12045,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,6805.4736
8,100,10,5,10042,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,8569.0335
4,2000,10,5,25046,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,51781.1569
6,100,30,5,10046,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,9337.503
4,100,50,5,10044,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,8387.6652
8,100,50,5,14042,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,8395.3816
7,100,30,5,11043,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,7111.6311
8,100,50,5,14043,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,10296.5768
9,100,10,5,11042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7387.5033
8,100,50,5,14045,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,10028.6936
6,100,30,5,10043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,8357.1729
9,100,10,5,11043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7882.4294
9,100,30,5,13044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6823.7049
2,2000,10,5,23046,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,53963.3037
8,100,10,5,10043,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,5289.88
9,100,30,5,13042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,8571.4464
7,500,50,5,17042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,30766.4201
5,500,10,5,11042,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,27312.0995
9,100,50,5,15042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7932.3857
9,100,30,5,13045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,8227.1127
4,100,50,5,10045,1657.5272106258317,1492.5626748932193,94.6920512699858,457.53915582734464,940.3314677958889,2,5172.7602
8,100,30,5,12046,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,7377.8244
9,500,50,5,19046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,34585.2896
6,500,10,5,12042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,26357.6503
7,100,30,5,11044,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,4963.655
5,2000,50,5,30044,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,60445.2673
6,100,50,5,12042,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,7952.272
9,100,10,5,11044,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,5160.703
8,100,50,5,14044,1547.2822102074595,1416.1603761218335,98.30539102444683,409.5495940729399,908.3053910244467,2,7147.4063
4,100,50,5,10046,1657.5272106258317,1502.5091723595351,89.49471185395903,467.7522458442802,945.2622146612958,2,4744.0604
8,100,10,5,10044,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,6458.8762
9,100,30,5,13043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6760.1765
9,100,50,5,15043,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,5917.2862
9,100,10,5,11045,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,3424.1103
5,2000,10,5,26045,1551.2822102074592,1442.1001917936503,97.47945270035991,370,974.6207390932904,2,62010.6273
7,100,30,5,11045,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,5822.0809
9,100,30,5,13046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,7494.6485
2,500,10,5,8045,1600.2822102074595,1524.7578137412315,93.14809368197419,427.8284271247462,1003.7812929345112,2,22496.7887
6,100,50,5,12043,1705.8438435154292,1399.7270579924893,87.93092351641734,333.2010301793963,978.5951042966758,2,5884.7204
8,100,10,5,10045,1547.2822102074595,1418.1421275171367,95.60819138818708,346.83271942909647,975.7012166998531,2,5937.0578
9,500,50,5,19042,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,33462.1266
7,2000,10,5,28042,1618.7742837964904,1369.0256978146926,95.21299187659949,359.5432037668651,914.2695021712282,2,67319.4403
9,100,10,5,11046,1594.7742837964902,1416.500104420834,90.35709325752595,412.8284271247462,913.314584038562,2,6099.5411
